seed,orig_idx,bleu_raw,bleu_rep,bleu_drift,property,c_folder
42,0,0.0,0.0,0.0,no-overflow,termination-numeric
123,0,0.2479,0.0983,-0.1496,no-overflow,termination-numeric
999,0,0.0,0.0,0.0,no-overflow,termination-numeric
42,2,0.1778,0.0955,-0.0823,unreach-call,recursive-simple
123,2,0.152,0.2324,0.0804,unreach-call,recursive-simple
999,2,0.2028,0.1421,-0.0607,unreach-call,recursive-simple
42,1,0.0,0.0,0.0,valid-memsafety,loops-crafted-1
123,1,0.0041,0.0041,0.0,valid-memsafety,loops-crafted-1
999,1,0.0,0.0013,0.0013,valid-memsafety,loops-crafted-1
42,3,0.1915,0.2067,0.0152,no-overflow,recursive-simple
123,3,0.1532,0.1302,-0.023,no-overflow,recursive-simple
999,3,0.1424,0.076,-0.0664,no-overflow,recursive-simple
42,6,0.0003,0.0,-0.0003,unreach-call,loop-acceleration
123,6,0.2305,0.0357,-0.1948,unreach-call,loop-acceleration
999,6,0.0,0.0,0.0,unreach-call,loop-acceleration
42,7,0.2269,0.07,-0.1569,unreach-call,recursive-simple
123,7,0.2054,0.0749,-0.1305,unreach-call,recursive-simple
999,7,0.1283,0.0564,-0.0719,unreach-call,recursive-simple
42,4,0.0685,0.0517,-0.0168,termination,termination-crafted
123,4,0.0953,0.045,-0.0503,termination,termination-crafted
999,4,0.0,0.0,0.0,termination,termination-crafted
42,5,0.0671,0.0514,-0.0157,termination,termination-nla
123,5,0.0,0.0,0.0,termination,termination-nla
999,5,0.0799,0.0239,-0.056,termination,termination-nla
42,8,0.2121,0.0529,-0.1592,unreach-call,loops
123,8,0.0,0.0,0.0,unreach-call,loops
999,8,0.0,0.0,0.0,unreach-call,loops
42,11,0.0001,0.002,0.0019,def-behavior,termination-crafted
123,11,0.0738,0.0445,-0.0293,def-behavior,termination-crafted
999,11,0.0001,0.0001,0.0,def-behavior,termination-crafted
42,9,0.0836,0.0547,-0.0289,termination,termination-crafted-lit
123,9,0.0946,0.0443,-0.0503,termination,termination-crafted-lit
999,9,0.1297,0.0774,-0.0523,termination,termination-crafted-lit
42,10,0.0816,0.0318,-0.0498,no-overflow,termination-crafted-lit
123,10,0.0415,0.0273,-0.0142,no-overflow,termination-crafted-lit
999,10,0.092,0.0404,-0.0516,no-overflow,termination-crafted-lit
42,12,0.0002,0.0,-0.0002,valid-memsafety,loops
123,12,0.2591,0.0856,-0.1735,valid-memsafety,loops
999,12,0.1561,0.0294,-0.1267,valid-memsafety,loops
42,13,0.2054,0.0295,-0.1759,no-overflow,recursive
123,13,0.2263,0.1778,-0.0485,no-overflow,recursive
999,13,0.0,0.0,0.0,no-overflow,recursive
42,14,0.0,0.0,0.0,def-behavior,termination-crafted
123,14,0.0,0.0,0.0,def-behavior,termination-crafted
999,14,0.1075,0.0491,-0.0584,def-behavior,termination-crafted
42,15,0.0804,0.1249,0.0445,no-overflow,loops-crafted-1
123,15,0.2589,0.0717,-0.1872,no-overflow,loops-crafted-1
999,15,0.1899,0.0531,-0.1368,no-overflow,loops-crafted-1
42,18,0.2332,0.1209,-0.1123,unreach-call,recursive-simple
123,18,0.1068,0.0653,-0.0415,unreach-call,recursive-simple
999,18,0.2624,0.1793,-0.0831,unreach-call,recursive-simple
42,16,0.0682,0.0442,-0.024,valid-memsafety,termination-crafted
123,16,0.0001,0.0001,0.0,valid-memsafety,termination-crafted
999,16,0.0427,0.0961,0.0534,valid-memsafety,termination-crafted
42,17,0.0801,0.0315,-0.0486,termination,termination-restricted-15
123,17,0.0922,0.0552,-0.037,termination,termination-restricted-15
999,17,0.0689,0.1152,0.0463,termination,termination-restricted-15
42,19,0.4005,0.1428,-0.2577,termination,termination-numeric
123,19,0.3264,0.2432,-0.0832,termination,termination-numeric
999,19,0.0,0.0,0.0,termination,termination-numeric
42,20,0.1587,0.1025,-0.0562,no-overflow,termination-crafted-lit
123,20,0.1343,0.0157,-0.1186,no-overflow,termination-crafted-lit
999,20,0.2416,0.0677,-0.1739,no-overflow,termination-crafted-lit
42,21,0.0881,0.036,-0.0521,termination,termination-restricted-15
123,21,0.1297,0.0593,-0.0704,termination,termination-restricted-15
999,21,0.0619,0.0506,-0.0113,termination,termination-restricted-15
42,23,0.3603,0.1981,-0.1622,unreach-call,recursive
123,23,0.3218,0.2529,-0.0689,unreach-call,recursive
999,23,0.2808,0.3622,0.0814,unreach-call,recursive
42,24,0.0,0.0,0.0,unreach-call,array-fpi
123,24,0.0,0.0,0.0,unreach-call,array-fpi
999,24,0.0,0.0,0.0,unreach-call,array-fpi
42,26,0.0,0.0,0.0,valid-memsafety,loops
123,26,0.0,0.0,0.0,valid-memsafety,loops
999,26,0.0,0.0,0.0,valid-memsafety,loops
42,25,0.0451,0.0254,-0.0197,def-behavior,termination-crafted
123,25,0.0594,0.0341,-0.0253,def-behavior,termination-crafted
999,25,0.0274,0.072,0.0446,def-behavior,termination-crafted
42,27,0.3003,0.023,-0.2773,unreach-call,array-fpi
123,27,0.3178,0.1316,-0.1862,unreach-call,array-fpi
999,27,0.0,0.0,0.0,unreach-call,array-fpi
42,28,0.1874,0.0493,-0.1381,unreach-call,loop-acceleration
123,28,0.0,0.0,0.0,unreach-call,loop-acceleration
999,28,0.0,0.0009,0.0009,unreach-call,loop-acceleration
42,29,0.0,0.0,0.0,no-overflow,bitvector
123,29,0.0,0.0,0.0,no-overflow,bitvector
999,29,0.0,0.0,0.0,no-overflow,bitvector
42,32,0.3691,0.4001,0.031,valid-memsafety,termination-crafted
123,32,0.0003,0.0003,0.0,valid-memsafety,termination-crafted
999,32,0.0003,0.0003,0.0,valid-memsafety,termination-crafted
42,30,0.0,0.0,0.0,unreach-call,loop-invgen
123,30,0.0,0.0,0.0,unreach-call,loop-invgen
999,30,0.0,0.0,0.0,unreach-call,loop-invgen
42,33,0.0544,0.0244,-0.03,def-behavior,termination-crafted
123,33,0.0001,0.0001,0.0,def-behavior,termination-crafted
999,33,0.0001,0.0001,0.0,def-behavior,termination-crafted
42,31,0.065,0.0005,-0.0645,no-overflow,termination-crafted
123,31,0.0974,0.045,-0.0524,no-overflow,termination-crafted
999,31,0.0,0.0,0.0,no-overflow,termination-crafted
42,34,0.0696,0.1098,0.0402,termination,termination-crafted-lit
123,34,0.1876,0.1178,-0.0698,termination,termination-crafted-lit
999,34,0.153,0.1178,-0.0352,termination,termination-crafted-lit
42,36,0.1169,0.1581,0.0412,valid-memsafety,array-memsafety
123,36,0.1091,0.2469,0.1378,valid-memsafety,array-memsafety
999,36,0.0,0.0,0.0,valid-memsafety,array-memsafety
42,35,0.0394,0.0516,0.0122,def-behavior,termination-crafted
123,35,0.0,0.0,0.0,def-behavior,termination-crafted
999,35,0.0,0.0,0.0,def-behavior,termination-crafted
42,37,0.0,0.0,0.0,valid-memsafety,loop-industry-pattern
123,37,0.0,0.0,0.0,valid-memsafety,loop-industry-pattern
999,37,0.0255,0.0,-0.0255,valid-memsafety,loop-industry-pattern
42,38,0.109,0.0883,-0.0207,termination,bitvector
123,38,0.0997,0.0113,-0.0884,termination,bitvector
999,38,0.0,0.0,0.0,termination,bitvector
42,40,0.1744,0.057,-0.1174,no-overflow,termination-nla
123,40,0.0,0.0,0.0,no-overflow,termination-nla
999,40,0.0,0.0,0.0,no-overflow,termination-nla
42,41,0.0762,0.043,-0.0332,termination,termination-nla
123,41,0.0,0.0,0.0,termination,termination-nla
999,41,0.0,0.0,0.0,termination,termination-nla
42,39,0.0,0.0,0.0,valid-memsafety,loops
123,39,0.1094,0.0432,-0.0662,valid-memsafety,loops
999,39,0.1129,0.1624,0.0495,valid-memsafety,loops
42,42,0.0,0.0,0.0,termination,recursive-simple
123,42,0.1104,0.1204,0.01,termination,recursive-simple
999,42,0.1084,0.1269,0.0185,termination,recursive-simple
42,43,0.0782,0.0841,0.0059,no-overflow,termination-restricted-15
123,43,0.0,0.0,0.0,no-overflow,termination-restricted-15
999,43,0.0,0.0,0.0,no-overflow,termination-restricted-15
42,45,0.2719,0.0477,-0.2242,no-overflow,termination-restricted-15
123,45,0.0,0.0022,0.0022,no-overflow,termination-restricted-15
999,45,0.3643,0.0426,-0.3217,no-overflow,termination-restricted-15
42,44,0.1758,0.0814,-0.0944,termination,termination-restricted-15
123,44,0.0689,0.0276,-0.0413,termination,termination-restricted-15
999,44,0.0715,0.0758,0.0043,termination,termination-restricted-15
42,46,0.0,0.0,0.0,valid-memsafety,array-fpi
123,46,0.0,0.0,0.0,valid-memsafety,array-fpi
999,46,0.0,0.0,0.0,valid-memsafety,array-fpi
42,49,0.0,0.0,0.0,valid-memsafety,loop-acceleration
123,49,0.0009,0.0,-0.0009,valid-memsafety,loop-acceleration
999,49,0.1446,0.1391,-0.0055,valid-memsafety,loop-acceleration
42,47,0.1262,0.0433,-0.0829,no-overflow,termination-bwb
123,47,0.1009,0.0546,-0.0463,no-overflow,termination-bwb
999,47,0.0,0.0001,0.0001,no-overflow,termination-bwb
42,48,0.0,0.0,0.0,unreach-call,loops-crafted-1
123,48,0.0,0.0,0.0,unreach-call,loops-crafted-1
999,48,0.3801,0.0866,-0.2935,unreach-call,loops-crafted-1
