skeleton_model,kimina_model,temperature,kimina_temp,seed,success,success_it,total_iters,skel_tokens_in,skel_tokens_out,kim_tokens_in,kim_tokens_out,total_tokens,duration_sec,final_code,iter_log,bleu_score,error,sample_idx,c_file,property,expected_verdict
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.2,0.6,999,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.2,0.6,123,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.2,0.6,42,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.5,0.6,123,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.5,0.6,999,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.5,0.6,42,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.8,0.6,42,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.8,0.6,123,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.8,0.6,999,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",21,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,unreach-call,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.2,0.6,123,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.5,0.6,42,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.2,0.6,999,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.2,0.6,42,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.5,0.6,999,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.8,0.6,42,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.5,0.6,123,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.8,0.6,999,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
qwen/qwen2.5-32b-instruct,AI-MO/Kimina-Prover-Preview-Distill-7B,0.8,0.6,123,False,-1,0,0,0,0,0,0,0.0,,[],-1.0,"Error code: 404 - {'error': {'message': 'No endpoints found for qwen/qwen2.5-32b-instruct.', 'code': 404}, 'user_id': 'user_2vrUs1YlA5bVzVFIcxgXbwCUYZS'}",14,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,termination,True
